Data,qtd_focos,media_dias_sem_chuva,media_precipitacao,media_risco_fogo,media_frp,Mes,DiaSemana,Estacao_Seca,lag_1,lag_2
2015-08-26,525,5.900952380952381,4.4504761904761905,0.8679060665362035,44.72913907284769,8,2,1,632.0,822.0
2015-08-27,421,5.415676959619953,8.830641330166271,0.6917874396135265,105.67647058823529,8,3,1,525.0,632.0
2015-08-28,59,3.7796610169491527,11.313559322033898,0.7155172413793104,20.883333333333336,8,4,1,421.0,525.0
2015-08-29,249,0.41767068273092367,0.6044176706827309,0.7181069958847737,61.66428571428571,8,5,1,59.0,421.0
2015-08-30,514,0.8054474708171206,3.0317120622568092,0.6564453125,44.24242424242424,8,6,1,249.0,59.0
2015-08-31,46,0.9130434782608695,17.171739130434784,0.25,32.88461538461539,8,0,1,514.0,249.0
2015-09-02,164,1.6280487804878048,5.091463414634147,0.7396341463414634,48.47837837837838,9,2,1,15.0,46.0
2015-09-03,76,1.5657894736842106,12.038157894736841,0.188,63.11764705882353,9,3,1,164.0,15.0
2015-09-04,144,0.027777777777777776,0.43125,0.445,33.021875,9,4,1,76.0,164.0
2015-09-05,29,0.0,30.32758620689655,0.034482758620689655,19.3,9,5,1,144.0,76.0
2015-09-06,102,0.029411764705882353,6.722549019607843,0.10618556701030929,28.305405405405406,9,6,1,29.0,144.0
2015-09-07,361,0.07756232686980609,1.1044321329639888,0.3515492957746479,104.02857142857144,9,0,1,102.0,29.0
2015-09-08,762,1.083989501312336,0.5486876640419948,0.5473684210526316,56.20857142857143,9,1,1,361.0,102.0
2015-09-09,991,2.360242179616549,0.20443995963673056,0.5988866396761134,139.92761904761903,9,2,1,762.0,361.0
2015-09-10,1606,3.537359900373599,0.04321295143212952,0.6888398486759143,138.64437086092715,9,3,1,991.0,762.0
2015-09-11,1905,4.431496062992126,0.006981627296587927,0.7304371002132196,53.80966183574879,9,4,1,1606.0,991.0
2015-09-12,1665,5.581981981981982,0.0,0.7775497887748944,95.336,9,5,1,1905.0,1606.0
2015-09-13,1225,6.662857142857143,0.025469387755102043,0.7492462311557789,36.11511627906977,9,6,1,1665.0,1905.0
2015-09-14,269,7.33457249070632,1.353903345724907,0.692156862745098,36.775,9,0,1,1225.0,1665.0
2015-09-15,349,7.197707736389685,1.5862464183381089,0.725,93.3931623931624,9,1,1,269.0,1225.0
2015-09-16,438,4.495433789954338,0.4246575342465753,0.736027713625866,62.00555555555556,9,2,1,349.0,269.0
2015-09-17,762,4.746719160104987,0.23779527559055116,0.7640957446808511,40.931395348837206,9,3,1,438.0,349.0
2015-09-18,680,5.839705882352941,1.1373529411764705,0.79375,31.221111111111114,9,4,1,762.0,438.0
2015-09-19,324,3.5617283950617282,0.8160493827160493,0.8207547169811321,35.858695652173914,9,5,1,680.0,762.0
2015-09-20,233,6.206008583690987,0.6450643776824034,0.8458515283842795,63.983333333333334,9,6,1,324.0,680.0
2015-09-21,308,5.636363636363637,0.5587662337662338,0.8709570957095709,26.392307692307693,9,0,1,233.0,324.0
2015-09-22,588,4.02891156462585,2.5566326530612242,0.8415807560137457,32.02163742690058,9,1,1,308.0,233.0
2015-09-23,761,1.9001314060446781,1.0455978975032851,0.807661822985469,74.39347826086956,9,2,1,588.0,308.0
2015-09-24,313,1.8913738019169328,12.327156549520767,0.4850649350649351,37.026315789473685,9,3,1,761.0,588.0
2015-09-25,106,1.971698113207547,3.209433962264151,0.7310679611650485,49.425000000000004,9,4,1,313.0,761.0
2015-09-26,157,0.25477707006369427,1.1891719745222928,0.7566433566433567,33.29375,9,5,1,106.0,313.0
2015-09-27,107,0.45794392523364486,6.762616822429907,0.4447619047619048,30.10810810810811,9,6,1,157.0,106.0
2015-09-28,143,0.42657342657342656,3.1594405594405597,0.5573643410852713,30.262500000000003,9,0,1,107.0,157.0
2015-09-29,226,0.6592920353982301,0.8942477876106194,0.6386046511627907,22.925862068965518,9,1,1,143.0,107.0
2015-09-30,44,1.0454545454545454,6.693181818181818,0.4658536585365854,25.825,9,2,1,226.0,143.0
2015-10-01,54,0.9444444444444444,3.7629629629629626,0.5471698113207547,21.588,10,3,1,44.0,226.0
2015-10-02,42,0.19047619047619047,2.1166666666666667,0.47619047619047616,28.525000000000002,10,4,1,54.0,44.0
2015-10-03,195,0.35384615384615387,0.2846153846153846,0.5453125,133.521875,10,5,1,42.0,54.0
2015-10-04,246,1.5772357723577235,0.2040650406504065,0.6216666666666666,47.45555555555555,10,6,1,195.0,42.0
2015-10-05,196,2.5306122448979593,0.07346938775510205,0.6817708333333333,48.89756097560976,10,0,1,246.0,195.0
