Data,qtd_focos,media_dias_sem_chuva,media_precipitacao,media_risco_fogo
2018-08-30,599,3.5792988313856426,0.42520868113522536,0.47879799666110184
2018-08-31,1066,3.682926829268293,4.499155722326455,0.35359848484848483
2018-09-01,615,2.4991869918699186,3.747967479674797,0.27941176470588236
2018-09-02,232,2.7974137931034484,8.755172413793103,0.1502183406113537
2018-09-03,639,0.42566510172143973,0.5682316118935837,0.26729264475743353
2018-09-04,3004,1.6238348868175765,0.002663115845539281,0.3567189063021007
2018-09-05,3170,2.6662460567823345,0.0,0.44126029132362254
2018-09-06,2265,3.6362030905077263,0.0,0.5259062776304155
2018-09-07,3211,4.683276237932108,0.0015571473061351605,0.5363520813473149
2018-09-08,2331,5.607464607464608,0.007636207636207637,0.5466434176111595
2018-09-09,2803,6.678201926507314,0.008740635033892259,0.6174223491610139
2018-09-10,1192,7.4874161073825505,0.4408557046979866,0.563056255247691
2018-09-11,946,7.689217758985201,1.057399577167019,0.5173913043478261
2018-09-12,1167,7.863753213367609,0.7262210796915167,0.6000000000000001
2018-09-13,289,7.041522491349481,1.803114186851211,0.5088028169014085
2018-09-14,357,5.179271708683474,1.2263305322128852,0.5461971830985916
2018-09-15,140,4.807142857142857,7.003571428571429,0.3171428571428571
2018-09-17,11,0.0,0.2727272727272727,0.20909090909090908
2018-09-18,13,0.23076923076923078,14.546153846153846,0.09999999999999999
2018-09-19,50,0.22,7.1160000000000005,0.052000000000000005
2018-09-20,46,0.34782608695652173,11.04782608695652,0.02888888888888889
2018-09-21,128,1.0390625,4.890625,0.18046875
2018-09-22,15,0.9333333333333333,5.206666666666666,0.1
2018-09-23,34,1.0,1.0647058823529412,0.1484848484848485
2018-09-24,155,1.664516129032258,0.16774193548387098,0.20129032258064516
2018-09-25,687,2.1528384279475983,0.015574963609898107,0.2711340206185567
2018-09-26,573,2.762652705061082,1.9211169284467713,0.2784210526315789
2018-09-27,177,2.3333333333333335,6.0740112994350275,0.2281609195402299
2018-09-28,170,2.276470588235294,3.3452941176470583,0.2106508875739645
2018-09-29,77,1.3376623376623376,1.105194805194805,0.17012987012987013
2018-09-30,140,2.557142857142857,2.682857142857143,0.3532374100719425
2018-10-01,79,1.9240506329113924,6.275949367088608,0.21518987341772153
2018-10-03,4,1.25,11.85,0.0
2018-10-04,9,0.2222222222222222,2.566666666666667,0.03333333333333333
2018-10-05,23,0.9130434782608695,8.682608695652174,0.017391304347826087
2018-10-06,23,1.7391304347826086,5.3,0.0761904761904762
2018-10-07,130,1.9076923076923078,0.20307692307692307,0.31848739495798317
